# SPDX-FileCopyrightText: Copyright (c) 2026 NVIDIA CORPORATION & AFFILIATES. All rights reserved.
# SPDX-License-Identifier: Apache-2.0
#
# Current-tree extraction dispositions at a5486894c45140259d822625e74d1ccdfce807ee.
# rows=100 nonblank_lines=39765 dispositions=move:68,split:20,keep:12,delete:0
# runtimes=langchain-deepagents-code:88,pi:9,nemocua:3
# Pi and NemoCUA remain deferred candidate workstreams and are not standard package extraction commitments.
# Every path resolves at the audit revision; no nonexistent or upstream-removed path appears in this file.
runtime	surface	disposition	nonblank_lines	path	current_owner	target_owner	target	phase	validation	notes
langchain-deepagents-code	lock	move	3551	agents/langchain-deepagents-code/requirements.lock	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/requirements.lock	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Move the exact Python requirements lock with the package-owned dependency graph.
langchain-deepagents-code	production	move	202	agents/langchain-deepagents-code/dcode-launcher.sh	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/dcode-launcher.sh	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	19	agents/langchain-deepagents-code/dcode-login-profile.sh	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/dcode-login-profile.sh	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	159	agents/langchain-deepagents-code/dcode-session-supervisor.py	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/dcode-session-supervisor.py	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	958	agents/langchain-deepagents-code/dcode-wrapper.sh	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/dcode-wrapper.sh	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	293	agents/langchain-deepagents-code/dependency-review.md	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/dependency-review.md	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	426	agents/langchain-deepagents-code/Dockerfile	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/Dockerfile	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	326	agents/langchain-deepagents-code/Dockerfile.base	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/Dockerfile.base	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	4	agents/langchain-deepagents-code/generate-config-entrypoint.ts	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/generate-config-entrypoint.ts	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
langchain-deepagents-code	production	move	201	agents/langchain-deepagents-code/generate-config.ts	deepagents-code-runtime	nemoclaw-deepagents-code-package	packages/nemoclaw-deepagents-code/runtime/generate-config.ts	4	nemoclaw-deepagents-code clean-pack, package tests, image conformance, and inference-routing	Whole file contains Deep Agents Code native implementation, declarative runtime data, or its detailed test.
